
[00:00:00.000 --> 00:00:00.500]  
[00:00:00.500 --> 00:00:00.520]   A
[01:22:52.140 --> 01:22:52.360]   once
[01:22:52.360 --> 01:22:52.500]   in
[01:22:52.500 --> 01:22:52.540]   a
[01:22:52.540 --> 01:22:52.790]   while
[01:22:52.790 --> 01:22:52.920]  ,
[01:22:52.920 --> 01:22:52.990]   we
[01:22:52.990 --> 01:22:53.100]  'll
[01:22:53.100 --> 01:22:53.290]   send
[01:22:53.290 --> 01:22:53.400]   each
[01:22:53.400 --> 01:22:53.480]   other
[01:22:53.480 --> 01:22:53.560]   an
[01:22:53.560 --> 01:22:53.730]   email
[01:22:53.730 --> 01:22:53.800]  ,
[01:22:53.800 --> 01:22:53.830]   "
[01:22:53.830 --> 01:22:53.890]  Oh
[01:22:53.890 --> 01:22:53.940]  ,
[01:22:53.940 --> 01:22:54.040]   did
[01:22:54.040 --> 01:22:54.130]   you
[01:22:54.130 --> 01:22:54.270]   see
[01:22:54.270 --> 01:22:54.350]   this
[01:22:54.350 --> 01:22:54.520]  ?"
[01:22:54.520 --> 01:22:54.640]   You
[01:22:54.640 --> 01:22:54.680]   know
[01:22:54.680 --> 01:22:54.970]  ,
[01:22:54.970 --> 01:22:55.070]   it
[01:22:55.070 --> 01:22:55.270]  's
[01:22:55.270 --> 01:22:55.310]  --
[01:22:55.310 --> 01:22:55.470]   yeah
[01:22:55.470 --> 01:22:55.620]  ,
[01:22:55.620 --> 01:22:55.650]   I
[01:22:55.650 --> 01:22:55.770]   don
[01:22:55.770 --> 01:22:55.870]  't
[01:22:55.870 --> 01:22:56.070]   know
[01:22:56.070 --> 01:22:56.280]  .
[01:22:56.280 --> 01:22:57.080]   Hey
[01:22:57.080 --> 01:22:57.170]  ,
[01:22:57.170 --> 01:22:57.270]   man
[01:22:57.270 --> 01:22:57.400]  ,
[01:22:57.400 --> 01:22:57.470]   I
[01:22:57.470 --> 01:22:57.610]  --
[01:22:57.610 --> 01:22:57.680]   I
[01:22:57.680 --> 01:22:58.120]   always
[01:22:58.120 --> 01:22:58.360]   believe
[01:22:58.360 --> 01:22:58.440]   it
[01:22:58.440 --> 01:22:58.520]  's
[01:22:58.520 --> 01:22:58.720]   like
[01:22:58.720 --> 01:22:58.970]   a
[01:22:58.970 --> 01:22:59.170]   Hail
[01:22:59.170 --> 01:22:59.270]   Mary
[01:22:59.270 --> 01:22:59.370]   pass
[01:22:59.370 --> 01:22:59.470]   is
[01:22:59.470 --> 01:22:59.780]   better
[01:22:59.780 --> 01:22:59.980]   than
[01:22:59.980 --> 01:23:00.340]   nothing
[01:23:00.340 --> 01:23:00.440]  ,
[01:23:00.440 --> 01:23:00.700]   right
[01:23:00.700 --> 01:23:00.920]  ?
[01:23:00.920 --> 01:23:01.100]   -
[01:23:01.100 --> 01:23:01.570]   I
[01:23:01.570 --> 01:23:01.660]   guess
[01:23:01.660 --> 01:23:01.880]  .
[01:23:01.880 --> 01:23:01.940]   -
[01:23:01.940 --> 01:23:02.010]   It
[01:23:02.010 --> 01:23:02.310]  's
[01:23:02.310 --> 01:23:02.540]   fourth
[01:23:02.540 --> 01:23:02.780]   down
[01:23:02.780 --> 01:23:02.920]  ,
[01:23:02.920 --> 01:23:03.040]   you
[01:23:03.040 --> 01:23:03.160]  're
[01:23:03.160 --> 01:23:03.320]   down
[01:23:03.320 --> 01:23:03.400]   by
[01:23:03.400 --> 01:23:03.720]   three
[01:23:03.720 --> 01:23:03.720]  ,
[01:23:03.720 --> 01:23:03.810]   and
[01:23:03.810 --> 01:23:03.960]   there
[01:23:03.960 --> 01:23:04.130]  's
[01:23:04.130 --> 01:23:04.140]   five
[01:23:04.140 --> 01:23:04.360]   seconds
[01:23:04.360 --> 01:23:04.450]   left
[01:23:04.450 --> 01:23:04.520]  .
[01:23:04.520 --> 01:23:04.620]   You
[01:23:04.620 --> 01:23:04.680]   might
[01:23:04.680 --> 01:23:04.760]   as
[01:23:04.760 --> 01:23:04.840]   well
[01:23:04.840 --> 01:23:05.110]   throw
[01:23:05.110 --> 01:23:05.210]   in
[01:23:05.210 --> 01:23:05.370]   the
[01:23:05.370 --> 01:23:05.420]   e
[01:23:05.420 --> 01:23:05.470]  n
[01:23:05.470 --> 01:23:05.570]  zy
[01:23:05.570 --> 01:23:05.830]  me
[01:23:05.830 --> 01:23:05.980]  .
[01:23:05.980 --> 01:23:06.200]   Someone
[01:23:06.200 --> 01:23:06.460]   might
[01:23:06.460 --> 01:23:06.840]   catch
[01:23:06.840 --> 01:23:06.840]   it
[01:23:06.840 --> 01:23:07.180]  ,
[01:23:07.180 --> 01:23:07.210]   right
[01:23:07.210 --> 01:23:07.330]  ?
[01:23:07.330 --> 01:23:07.520]   Just
[01:23:07.520 --> 01:23:07.670]   to
[01:23:07.670 --> 01:23:07.750]   hope
[01:23:07.750 --> 01:23:07.830]   it
[01:23:07.830 --> 01:23:08.260]   happens
[01:23:08.260 --> 01:23:08.430]   somehow
[01:23:08.430 --> 01:23:08.600]  .
[01:23:08.600 --> 01:23:08.600]  
[01:23:08.600 --> 01:23:08.690]   -
[01:23:08.690 --> 01:23:08.980]   Well
[01:23:08.980 --> 01:23:09.130]  ,
[01:23:09.130 --> 01:23:09.440]   that
[01:23:09.440 --> 01:23:09.750]   didn
[01:23:09.750 --> 01:23:09.910]  't
[01:23:09.910 --> 01:23:10.360]   happen
[01:23:10.360 --> 01:23:10.510]   to
[01:23:10.510 --> 01:23:11.130]   Seattle
[01:23:11.130 --> 01:23:11.200]   Se
[01:23:11.200 --> 01:23:11.350]  ah
[01:23:11.350 --> 01:23:11.500]  aw
[01:23:11.500 --> 01:23:11.730]  ks
[01:23:11.730 --> 01:23:11.810]   in
[01:23:11.810 --> 01:23:11.990]   this
[01:23:11.990 --> 01:23:12.170]   last
[01:23:12.170 --> 01:23:12.370]   one
[01:23:12.370 --> 01:23:12.440]  .
[01:23:12.440 --> 01:23:12.570]   -
[01:23:12.570 --> 01:23:13.280]   Well
[01:23:13.280 --> 01:23:13.320]  --
[01:23:13.320 --> 01:23:13.360]   -
[01:23:13.360 --> 01:23:13.780]   They
[01:23:13.780 --> 01:23:13.830]   tried
[01:23:13.830 --> 01:23:14.110]   exactly
[01:23:14.110 --> 01:23:14.300]   that
[01:23:14.300 --> 01:23:14.450]   and
[01:23:14.450 --> 01:23:14.630]   they
[01:23:14.630 --> 01:23:14.760]  --
[01:23:14.760 --> 01:23:14.790]   -
[01:23:14.790 --> 01:23:14.900]   But
[01:23:14.900 --> 01:23:15.020]   you
[01:23:15.020 --> 01:23:15.200]   still
[01:23:15.200 --> 01:23:15.270]  --
[01:23:15.270 --> 01:23:15.540]   but
[01:23:15.540 --> 01:23:15.570]   would
[01:23:15.570 --> 01:23:15.690]   you
[01:23:15.690 --> 01:23:15.910]   rather
[01:23:15.910 --> 01:23:16.060]   just
[01:23:16.060 --> 01:23:16.210]   down
[01:23:16.210 --> 01:23:16.280]   it
[01:23:16.280 --> 01:23:16.390]   and
[01:23:16.390 --> 01:23:16.500]   say
[01:23:16.500 --> 01:23:16.690]  ,
[01:23:16.690 --> 01:23:16.720]   "
[01:23:16.720 --> 01:23:16.730]  Oh
[01:23:16.730 --> 01:23:16.760]  ,
[01:23:16.760 --> 01:23:16.830]   I
[01:23:16.830 --> 01:23:17.170]   guess
[01:23:17.170 --> 01:23:17.310]   we
[01:23:17.310 --> 01:23:17.460]   lose
[01:23:17.460 --> 01:23:17.970]  ."
[01:23:17.970 --> 01:23:18.030]   No
[01:23:18.030 --> 01:23:18.120]  .
[01:23:18.120 --> 01:23:18.160]   -
[01:23:18.160 --> 01:23:18.410]   Yeah
[01:23:18.410 --> 01:23:18.720]  ,
[01:23:18.720 --> 01:23:18.750]   because
[01:23:18.750 --> 01:23:18.850]   you
[01:23:18.850 --> 01:23:18.980]  've
[01:23:18.980 --> 01:23:19.110]   got
[01:23:19.110 --> 01:23:19.450]   control
[01:23:19.450 --> 01:23:19.590]   over
[01:23:19.590 --> 01:23:19.760]   that
[01:23:19.760 --> 01:23:19.960]  .
[01:23:19.960 --> 01:23:20.010]   -
[01:23:20.010 --> 01:23:20.280]   You
[01:23:20.280 --> 01:23:20.310]   got
[01:23:20.310 --> 01:23:20.420]   to
[01:23:20.420 --> 01:23:20.610]   give
[01:23:20.610 --> 01:23:20.760]   it
[01:23:20.760 --> 01:23:20.760]   a
[01:23:20.760 --> 01:23:20.960]   shot
[01:23:20.960 --> 01:23:21.160]  .
[01:23:21.160 --> 01:23:21.200]   -
[01:23:21.200 --> 01:23:21.440]   You
[01:23:21.440 --> 01:23:21.480]  've
[01:23:21.480 --> 01:23:21.640]   got
[01:23:21.640 --> 01:23:21.950]   control
[01:23:21.950 --> 01:23:22.140]   over
[01:23:22.140 --> 01:23:22.420]   losing
[01:23:22.420 --> 01:23:22.600]  .
[01:23:22.600 --> 01:23:22.640]   You
[01:23:22.640 --> 01:23:23.090]  've
[01:23:23.090 --> 01:23:23.370]   got
[01:23:23.370 --> 01:23:24.080]   no
[01:23:24.080 --> 01:23:24.150]   control
[01:23:24.150 --> 01:23:24.520]   over
[01:23:24.520 --> 01:23:24.570]   a
[01:23:24.570 --> 01:23:24.910]   Hail
[01:23:24.910 --> 01:23:25.250]   Mary
[01:23:25.250 --> 01:23:25.560]  .
[01:23:25.560 --> 01:23:25.710]   Isn
[01:23:25.710 --> 01:23:25.840]  't
[01:23:25.840 --> 01:23:25.950]   it
[01:23:25.950 --> 01:23:26.250]   better
[01:23:26.250 --> 01:23:26.730]   the
[01:23:26.730 --> 01:23:26.760]   devil
[01:23:26.760 --> 01:23:26.990]   you
[01:23:26.990 --> 01:23:27.200]   know
[01:23:27.200 --> 01:23:27.430]   than
[01:23:27.430 --> 01:23:27.560]   the
[01:23:27.560 --> 01:23:27.850]   devil
[01:23:27.850 --> 01:23:28.020]   you
[01:23:28.020 --> 01:23:28.220]   don
[01:23:28.220 --> 01:23:28.300]  't
[01:23:28.300 --> 01:23:28.600]  ?
[01:23:28.600 --> 01:23:28.640]   -
[01:23:28.640 --> 01:23:28.910]   What
[01:23:28.910 --> 01:23:28.950]   is
[01:23:28.950 --> 01:23:29.090]   that
[01:23:29.090 --> 01:23:29.220]  ?
[01:23:29.220 --> 01:23:29.310]   It
[01:23:29.310 --> 01:23:29.540]   doesn
[01:23:29.540 --> 01:23:29.630]  't
[01:23:29.630 --> 01:23:29.810]   make
[01:23:29.810 --> 01:23:29.940]   any
[01:23:29.940 --> 01:23:30.250]   sense
[01:23:30.250 --> 01:23:30.360]  .
[01:23:30.360 --> 01:23:30.510]   So
[01:23:30.510 --> 01:23:30.520]  ,
[01:23:30.520 --> 01:23:30.690]   you
[01:23:30.690 --> 01:23:30.970]   would
[01:23:30.970 --> 01:23:31.310]   rather
[01:23:31.310 --> 01:23:32.840]   kill
[01:23:32.840 --> 01:23:33.480]   yourself
[01:23:33.480 --> 01:23:33.950]   or
[01:23:33.950 --> 01:23:34.200]   submit
[01:23:34.200 --> 01:23:34.200]  
[01:23:34.200 --> 01:23:34.400]   to
[01:23:34.400 --> 01:23:34.790]   death
[01:23:34.790 --> 01:23:35.520]   willingly
[01:23:35.520 --> 01:23:36.100]   because
[01:23:36.100 --> 01:23:36.350]   you
[01:23:36.350 --> 01:23:36.840]   have
[01:23:36.840 --> 01:23:37.260]   control
[01:23:37.260 --> 01:23:37.590]   over
[01:23:37.590 --> 01:23:37.670]   it
[01:23:37.670 --> 01:23:37.970]   rather
[01:23:37.970 --> 01:23:38.820]   than
[01:23:38.820 --> 01:23:38.830]   you
[01:23:38.830 --> 01:23:39.400]   have
[01:23:39.400 --> 01:23:39.640]  --
[01:23:39.640 --> 01:23:39.700]   giving
[01:23:39.700 --> 01:23:40.120]   yourself
[01:23:40.120 --> 01:23:40.200]   a
[01:23:40.200 --> 01:23:40.410]   chance
[01:23:40.410 --> 01:23:40.440]  ?
[01:23:40.440 --> 01:23:40.490]   -
[01:23:40.490 --> 01:23:40.540]   I
[01:23:40.540 --> 01:23:40.710]   don
[01:23:40.710 --> 01:23:40.820]  't
[01:23:40.820 --> 01:23:41.050]   know
[01:23:41.050 --> 01:23:41.220]  .
[01:23:41.220 --> 01:23:41.330]   It
[01:23:41.330 --> 01:23:41.610]   seems
[01:23:41.610 --> 01:23:41.660]   a
[01:23:41.660 --> 01:23:41.830]   bit
[01:23:41.830 --> 01:23:42.340]   desperate
[01:23:42.340 --> 01:23:42.520]  ,
[01:23:42.520 --> 01:23:42.660]   you
[01:23:42.660 --> 01:23:42.850]   know
[01:23:42.850 --> 01:23:43.160]  ?
[01:23:43.160 --> 01:23:43.170]   Like
[01:23:43.170 --> 01:23:43.240]  ,
[01:23:43.240 --> 01:23:43.670]   trying
[01:23:43.670 --> 01:23:43.810]   to
[01:23:43.810 --> 01:23:44.120]  --
[01:23:44.120 --> 01:23:44.140]   like
[01:23:44.140 --> 01:23:45.240]   that
[01:23:45.240 --> 01:23:45.270]   kind
[01:23:45.270 --> 01:23:45.320]   of
[01:23:45.320 --> 01:23:45.640]   Hail
[01:23:45.640 --> 01:23:45.800]   Mary
[01:23:45.800 --> 01:23:45.920]  .
[01:23:45.920 --> 01:23:46.000]   It
[01:23:46.000 --> 01:23:46.070]  's
[01:23:46.070 --> 01:23:46.360]   not
[01:23:46.360 --> 01:23:46.530]   that
[01:23:46.530 --> 01:23:46.730]   desperate
[01:23:46.730 --> 01:23:46.870]  ,
[01:23:46.870 --> 01:23:46.930]   but
[01:23:46.930 --> 01:23:47.090]   it
[01:23:47.090 --> 01:23:47.090]  's
[01:23:47.090 --> 01:23:47.170]  --
[01:23:47.170 --> 01:23:47.210]   I
[01:23:47.210 --> 01:23:47.330]   don
[01:23:47.330 --> 01:23:47.410]  't
[01:23:47.410 --> 01:23:47.570]   know
[01:23:47.570 --> 01:23:47.690]  .
[01:23:47.690 --> 01:23:47.770]   It
[01:23:47.770 --> 01:23:47.850]  's
[01:23:47.850 --> 01:23:48.010]   just
[01:23:48.010 --> 01:23:48.200]  --
[01:23:48.200 --> 01:23:48.260]   -
[01:23:48.260 --> 01:23:48.520]   Is
[01:23:48.520 --> 01:23:48.520]   it
[01:23:48.520 --> 01:23:48.970]   a
[01:23:48.970 --> 01:23:48.980]   social
[01:23:48.980 --> 01:23:49.310]   thing
[01:23:49.310 --> 01:23:49.600]  ?
[01:23:49.600 --> 01:23:49.630]   You
[01:23:49.630 --> 01:23:49.700]  're
[01:23:49.700 --> 01:23:49.880]   worried
[01:23:49.880 --> 01:23:50.040]   about
[01:23:50.040 --> 01:23:50.240]   what
[01:23:50.240 --> 01:23:50.440]   people
[01:23:50.440 --> 01:23:50.570]   think
[01:23:50.570 --> 01:23:50.680]   of
[01:23:50.680 --> 01:23:50.720]   you
[01:23:50.720 --> 01:23:50.760]  ?
[01:23:50.760 --> 01:23:50.920]   Because
[01:23:50.920 --> 01:23:51.010]   they
[01:23:51.010 --> 01:23:51.080]  're
[01:23:51.080 --> 01:23:51.160]   all
[01:23:51.160 --> 01:23:51.290]   going
[01:23:51.290 --> 01:23:51.340]   to
[01:23:51.340 --> 01:23:51.390]   be
[01:23:51.390 --> 01:23:51.490]   dead
[01:23:51.490 --> 01:23:51.640]   anyway
[01:23:51.640 --> 01:23:51.690]  ,
[01:23:51.690 --> 01:23:51.730]   so
[01:23:51.730 --> 01:23:51.790]   it
[01:23:51.790 --> 01:23:51.920]   doesn
[01:23:51.920 --> 01:23:52.020]  't
[01:23:52.020 --> 01:23:52.120]   matter
[01:23:52.120 --> 01:23:52.220]   what
[01:23:52.220 --> 01:23:52.320]   they
[01:23:52.320 --> 01:23:52.450]   think
[01:23:52.450 --> 01:23:52.600]  .
[01:23:52.600 --> 01:23:52.700]   -
[01:23:52.700 --> 01:23:52.760]   That
[01:23:52.760 --> 01:23:52.820]  's
[01:23:52.820 --> 01:23:52.950]   true
[01:23:52.950 --> 01:23:53.080]  .
[01:23:53.080 --> 01:23:53.150]   -
[01:23:53.150 --> 01:23:53.230]   I
[01:23:53.230 --> 01:23:53.600]   mean
[01:23:53.600 --> 01:23:53.620]  ,
[01:23:53.620 --> 01:23:53.720]   I
[01:23:53.720 --> 01:23:53.890]   don
[01:23:53.890 --> 01:23:54.020]  't
[01:23:54.020 --> 01:23:54.370]   know
[01:23:54.370 --> 01:23:54.560]  .
[01:23:54.560 --> 01:23:54.560]   I
[01:23:54.560 --> 01:23:54.880]   mean
[01:23:54.880 --> 01:23:55.060]  ,
[01:23:55.060 --> 01:23:55.100]   it
[01:23:55.100 --> 01:23:55.230]  's
[01:23:55.230 --> 01:23:55.370]   an
[01:23:55.370 --> 01:23:56.130]   interesting
[01:23:56.130 --> 01:23:56.610]   concept
[01:23:56.610 --> 01:23:56.910]  .
[01:23:56.910 --> 01:23:57.540]   But
[01:23:57.540 --> 01:23:58.120]   like
[01:23:58.120 --> 01:23:58.280]  --
[01:23:58.280 --> 01:24:00.120]   I
[01:24:00.120 --> 01:24:00.270]   think
[01:24:00.270 --> 01:24:00.280]  --
[01:24:00.280 --> 01:24:00.360]   I
[01:24:00.360 --> 01:24:00.670]   mean
[01:24:00.670 --> 01:24:00.840]  ,
[01:24:00.840 --> 01:24:00.990]  
[01:24:00.990 --> 01:24:01.020]   when
[01:24:01.020 --> 01:24:01.150]   you
[01:24:01.150 --> 01:24:01.280]  're
[01:24:01.280 --> 01:24:01.410]   cry
[01:24:01.410 --> 01:24:01.590]  ogen
[01:24:01.590 --> 01:24:01.860]  ically
[01:24:01.860 --> 01:24:02.130]   frozen
[01:24:02.130 --> 01:24:02.220]  ,
[01:24:02.220 --> 01:24:02.310]   is
[01:24:02.310 --> 01:24:02.400]   it
[01:24:02.400 --> 01:24:02.640]   like
[01:24:02.640 --> 01:24:02.940]   freeze
[01:24:02.940 --> 01:24:03.020]  --
[01:24:03.020 --> 01:24:03.030]   is
[01:24:03.030 --> 01:24:03.120]   it
[01:24:03.120 --> 01:24:03.300]   like
[01:24:03.300 --> 01:24:03.570]   freeze
[01:24:03.570 --> 01:24:03.720]  --
[01:24:03.720 --> 01:24:05.720]   instant
[01:24:05.720 --> 01:24:05.930]   freeze
[01:24:05.930 --> 01:24:06.040]  ?
[01:24:06.040 --> 01:24:06.130]   -
[01:24:06.130 --> 01:24:06.160]   No
[01:24:06.160 --> 01:24:06.520]  .
[01:24:06.520 --> 01:24:07.020]   So
[01:24:07.020 --> 01:24:07.040]  ,
[01:24:07.040 --> 01:24:07.340]   the
[01:24:07.340 --> 01:24:07.640]   way
[01:24:07.640 --> 01:24:07.740]   I
[01:24:07.740 --> 01:24:08.770]   understand
[01:24:08.770 --> 01:24:08.970]   it
[01:24:08.970 --> 01:24:09.240]   is
[01:24:09.240 --> 01:24:10.040]   that
[01:24:10.040 --> 01:24:10.280]  --
[01:24:10.280 --> 01:24:10.320]   -
[01:24:10.320 --> 01:24:10.410]   Do
[01:24:10.410 --> 01:24:10.530]   you
[01:24:10.530 --> 01:24:10.910]   still
[01:24:10.910 --> 01:24:10.940]   have
[01:24:10.940 --> 01:24:11.160]   blood
[01:24:11.160 --> 01:24:11.250]   in
[01:24:11.250 --> 01:24:11.430]   your
[01:24:11.430 --> 01:24:11.700]   system
[01:24:11.700 --> 01:24:11.880]  ?
[01:24:11.880 --> 01:24:11.940]   -
[01:24:11.940 --> 01:24:12.180]   They
[01:24:12.180 --> 01:24:12.510]   drain
[01:24:12.510 --> 01:24:12.670]   the
[01:24:12.670 --> 01:24:12.910]   body
[01:24:12.910 --> 01:24:13.090]   out
[01:24:13.090 --> 01:24:13.330]   with
[01:24:13.330 --> 01:24:13.450]  --
[01:24:13.450 --> 01:24:13.570]   so
[01:24:13.570 --> 01:24:13.690]  ,
[01:24:13.690 --> 01:24:14.290]   basically
[01:24:14.290 --> 01:24:14.500]  ,
[01:24:14.500 --> 01:24:15.180]   ideally
[01:24:15.180 --> 01:24:15.400]  ,
[01:24:15.400 --> 01:24:15.550]   this
[01:24:15.550 --> 01:24:15.620]   is
[01:24:15.620 --> 01:24:15.800]   what
[01:24:15.800 --> 01:24:15.960]   happens
[01:24:15.960 --> 01:24:16.040]  .
[01:24:16.040 --> 01:24:16.080]   Let
[01:24:16.080 --> 01:24:16.120]  's
[01:24:16.120 --> 01:24:16.320]   say
[01:24:16.320 --> 01:24:16.400]   you
[01:24:16.400 --> 01:24:16.520]  're
[01:24:16.520 --> 01:24:16.800]   older
[01:24:16.800 --> 01:24:16.910]  ,
[01:24:16.910 --> 01:24:17.230]   you
[01:24:17.230 --> 01:24:17.510]  're
[01:24:17.510 --> 01:24:17.530]   dying
[01:24:17.530 --> 01:24:17.620]   of
[01:24:17.620 --> 01:24:17.950]   cancer
[01:24:17.950 --> 01:24:18.210]  ,
[01:24:18.210 --> 01:24:18.220]   you
[01:24:18.220 --> 01:24:18.380]  're
[01:24:18.380 --> 01:24:18.660]   dying
[01:24:18.660 --> 01:24:18.770]   of
[01:24:18.770 --> 01:24:18.990]   just
[01:24:18.990 --> 01:24:19.150]   old
[01:24:19.150 --> 01:24:19.310]   age
[01:24:19.310 --> 01:24:19.400]  ,
[01:24:19.400 --> 01:24:19.740]   you
[01:24:19.740 --> 01:24:19.780]  're
[01:24:19.780 --> 01:24:19.850]   in
[01:24:19.850 --> 01:24:20.010]   the
[01:24:20.010 --> 01:24:20.450]   hospital
[01:24:20.450 --> 01:24:20.760]  ,
[01:24:20.760 --> 01:24:20.760]   you
[01:24:20.760 --> 01:24:20.920]   know
[01:24:20.920 --> 01:24:20.920]  ?
[01:24:20.920 --> 01:24:21.380]   Ideally
[01:24:21.380 --> 01:24:21.610]  ,
[01:24:21.610 --> 01:24:21.670]   you
[01:24:21.670 --> 01:24:21.860]   don
[01:24:21.860 --> 01:24:22.010]  't
[01:24:22.010 --> 01:24:22.170]   get
[01:24:22.170 --> 01:24:22.610]   crushed
[01:24:22.610 --> 01:24:22.750]   in
[01:24:22.750 --> 01:24:22.790]   a
[01:24:22.790 --> 01:24:22.980]   car
[01:24:22.980 --> 01:24:23.480]   accident
[01:24:23.480 --> 01:24:23.640]  ,
[01:24:23.640 --> 01:24:23.760]   you
[01:24:23.760 --> 01:24:23.960]   just
[01:24:23.960 --> 01:24:24.040]   die
[01:24:24.040 --> 01:24:24.140]   and
[01:24:24.140 --> 01:24:24.280]   your
[01:24:24.280 --> 01:24:24.520]   body
[01:24:24.520 --> 01:24:24.600]  's
[01:24:24.600 --> 01:24:24.780]   mang
[01:24:24.780 --> 01:24:24.920]  led
[01:24:24.920 --> 01:24:25.080]   because
[01:24:25.080 --> 01:24:25.200]   you
[01:24:25.200 --> 01:24:25.320]  're
[01:24:25.320 --> 01:24:25.400]   in
[01:24:25.400 --> 01:24:25.590]   that
[01:24:25.590 --> 01:24:25.720]   kind
[01:24:25.720 --> 01:24:25.800]   of
[01:24:25.800 --> 01:24:26.170]   situation
[01:24:26.170 --> 01:24:26.250]  ,
[01:24:26.250 --> 01:24:26.360]   you
[01:24:26.360 --> 01:24:26.460]  're
[01:24:26.460 --> 01:24:26.640]   kind
[01:24:26.640 --> 01:24:26.730]   of
[01:24:26.730 --> 01:24:26.840]   out
[01:24:26.840 --> 01:24:27.080]   of
[01:24:27.080 --> 01:24:27.090]   luck
[01:24:27.090 --> 01:24:27.320]  .
[01:24:27.320 --> 01:24:27.370]   -
[01:24:27.370 --> 01:24:27.600]   Yeah
[01:24:27.600 --> 01:24:27.720]  .
[01:24:27.720 --> 01:24:27.720]  
[01:24:27.720 --> 01:24:27.780]   -
[01:24:27.780 --> 01:24:28.080]   But
[01:24:28.080 --> 01:24:28.140]   if
[01:24:28.140 --> 01:24:28.260]   you
[01:24:28.260 --> 01:24:28.740]  're
[01:24:28.740 --> 01:24:28.770]   lucky
[01:24:28.770 --> 01:24:29.110]   enough
[01:24:29.110 --> 01:24:29.230]   to
[01:24:29.230 --> 01:24:29.350]   be
[01:24:29.350 --> 01:24:29.470]  ,
[01:24:29.470 --> 01:24:29.670]   you
[01:24:29.670 --> 01:24:29.890]   know
[01:24:29.890 --> 01:24:30.010]  ,
[01:24:30.010 --> 01:24:30.190]   you
[01:24:30.190 --> 01:24:30.440]  're
[01:24:30.440 --> 01:24:31.460]   85
[01:24:31.460 --> 01:24:31.800]  ,
[01:24:31.800 --> 01:24:32.220]   95
[01:24:32.220 --> 01:24:32.360]  ,
[01:24:32.360 --> 01:24:32.440]   you
[01:24:32.440 --> 01:24:32.520]  're
[01:24:32.520 --> 01:24:32.570]   in
[01:24:32.570 --> 01:24:32.680]   the
[01:24:32.680 --> 01:24:33.060]   hospital
[01:24:33.060 --> 01:24:33.160]  ,
[01:24:33.160 --> 01:24:33.320]   your
[01:24:33.320 --> 01:24:33.600]   kids
[01:24:33.600 --> 01:24:33.680]   and
[01:24:33.680 --> 01:24:33.800]   grand
[01:24:33.800 --> 01:24:33.950]  kids
[01:24:33.950 --> 01:24:34.070]   are
[01:24:34.070 --> 01:24:34.380]   visiting
[01:24:34.380 --> 01:24:34.500]   you
[01:24:34.500 --> 01:24:34.620]   and
[01:24:34.620 --> 01:24:34.780]   they
[01:24:34.780 --> 01:24:34.890]  're
[01:24:34.890 --> 01:24:35.050]   like
[01:24:35.050 --> 01:24:35.190]  ,
[01:24:35.190 --> 01:24:35.190]   "
[01:24:35.190 --> 01:24:35.330]  Okay
[01:24:35.330 --> 01:24:35.480]  ."
[01:24:35.480 --> 01:24:35.720]   You
[01:24:35.720 --> 01:24:36.270]   know
[01:24:36.270 --> 01:24:36.360]   how
[01:24:36.360 --> 01:24:36.440]   it
[01:24:36.440 --> 01:24:36.520]   is
[01:24:36.520 --> 01:24:36.520]  ,
[01:24:36.520 --> 01:24:37.000]   usually
[01:24:37.000 --> 01:24:37.150]   they
[01:24:37.150 --> 01:24:37.310]   say
[01:24:37.310 --> 01:24:37.520]  ,
[01:24:37.520 --> 01:24:37.600]   you
[01:24:37.600 --> 01:24:37.830]   know
[01:24:37.830 --> 01:24:37.940]  ,
[01:24:37.940 --> 01:24:38.170]   they
[01:24:38.170 --> 01:24:38.350]  'll
[01:24:38.350 --> 01:24:38.860]   basically
[01:24:38.860 --> 01:24:39.100]   call
[01:24:39.100 --> 01:24:39.290]   you
[01:24:39.290 --> 01:24:39.430]   and
[01:24:39.430 --> 01:24:39.600]   say
[01:24:39.600 --> 01:24:39.800]  ,
[01:24:39.800 --> 01:24:39.840]   "
[01:24:39.840 --> 01:24:39.960]  You
[01:24:39.960 --> 01:24:40.010]   know
[01:24:40.010 --> 01:24:40.040]  ,
[01:24:40.040 --> 01:24:40.170]   you
[01:24:40.170 --> 01:24:40.430]   better
[01:24:40.430 --> 01:24:40.600]   come
[01:24:40.600 --> 01:24:40.810]   visit
[01:24:40.810 --> 01:24:40.980]   your
[01:24:40.980 --> 01:24:41.280]   grandpa
[01:24:41.280 --> 01:24:41.480]  ."
[01:24:41.480 --> 01:24:41.560]   You
[01:24:41.560 --> 01:24:41.660]   know
[01:24:41.660 --> 01:24:41.720]  ,
[01:24:41.720 --> 01:24:41.770]   it
[01:24:41.770 --> 01:24:41.820]  's
[01:24:41.820 --> 01:24:42.040]   like
[01:24:42.040 --> 01:24:42.040]  --
[01:24:42.040 --> 01:24:42.060]   -
[01:24:42.060 --> 01:24:42.140]   Yeah
[01:24:42.140 --> 01:24:42.200]  .
[01:24:42.200 --> 01:24:42.260]   -
[01:24:42.260 --> 01:24:42.590]   He
[01:24:42.590 --> 01:24:42.590]   may
[01:24:42.590 --> 01:24:42.790]   not
[01:24:42.790 --> 01:24:43.120]  --
[01:24:43.120 --> 01:24:43.190]   that
[01:24:43.190 --> 01:24:43.320]  's
[01:24:43.320 --> 01:24:43.790]   another
