
[00:00:00.000 --> 00:00:00.070]  
[00:00:00.070 --> 00:00:00.160]   J
[01:15:41.420 --> 01:15:41.420]  
[01:15:41.420 --> 01:15:41.690]   And
[01:15:41.690 --> 01:15:41.690]   he
[01:15:41.690 --> 01:15:41.910]   he
[01:15:41.910 --> 01:15:42.070]   would
[01:15:42.070 --> 01:15:42.290]   desc
[01:15:42.290 --> 01:15:42.400]  ri
[01:15:42.400 --> 01:15:42.510]   he
[01:15:42.510 --> 01:15:42.860]   would
[01:15:42.860 --> 01:15:43.110]   always
[01:15:43.110 --> 01:15:43.550]   describe
[01:15:43.550 --> 01:15:43.660]   in
[01:15:43.660 --> 01:15:43.990]   really
[01:15:43.990 --> 01:15:44.260]   funny
[01:15:44.260 --> 01:15:44.480]   ways
[01:15:44.480 --> 01:15:44.640]   And
[01:15:44.640 --> 01:15:44.810]  .
[01:15:44.810 --> 01:15:44.960]   and
[01:15:44.960 --> 01:15:45.010]   I
[01:15:45.010 --> 01:15:45.230]   said
[01:15:45.230 --> 01:15:45.450]   well
[01:15:45.450 --> 01:15:45.560]  ,
[01:15:45.560 --> 01:15:45.690]   he
[01:15:45.690 --> 01:15:45.890]   said
[01:15:45.890 --> 01:15:46.200]   well
[01:15:46.200 --> 01:15:46.270]   you
[01:15:46.270 --> 01:15:46.490]   know
[01:15:46.490 --> 01:15:46.560]   it
[01:15:46.560 --> 01:15:46.880]  's
[01:15:46.880 --> 01:15:46.930]   like
[01:15:46.930 --> 01:15:47.150]   look
[01:15:47.150 --> 01:15:47.260]  ,
[01:15:47.260 --> 01:15:47.370]   it
[01:15:47.370 --> 01:15:47.480]  's
[01:15:47.480 --> 01:15:47.700]   like
[01:15:47.700 --> 01:15:47.860]   the
[01:15:47.860 --> 01:15:48.310]   studios
[01:15:48.310 --> 01:15:48.400]   and
[01:15:48.400 --> 01:15:48.560]   the
[01:15:48.560 --> 01:15:48.720]   you
[01:15:48.720 --> 01:15:48.940]   know
[01:15:48.940 --> 01:15:49.270]   mostly
[01:15:49.270 --> 01:15:49.490]   made
[01:15:49.490 --> 01:15:49.600]   up
[01:15:49.600 --> 01:15:49.710]   of
[01:15:49.710 --> 01:15:49.760]   M
[01:15:49.760 --> 01:15:49.810]  _
[01:15:49.810 --> 01:15:49.860]  B
[01:15:49.860 --> 01:15:49.910]  _
[01:15:49.910 --> 01:15:49.960]  A
[01:15:49.960 --> 01:15:50.010]  _
[01:15:50.010 --> 01:15:50.060]  s
[01:15:50.060 --> 01:15:50.220]   and
[01:15:50.220 --> 01:15:50.440]   they
[01:15:50.440 --> 01:15:50.600]  're
[01:15:50.600 --> 01:15:50.820]   they
[01:15:50.820 --> 01:15:50.980]  're
[01:15:50.980 --> 01:15:51.360]   looking
[01:15:51.360 --> 01:15:51.470]   at
[01:15:51.470 --> 01:15:51.900]   crunch
[01:15:51.900 --> 01:15:51.960]  ing
[01:15:51.960 --> 01:15:52.340]   numbers
[01:15:52.340 --> 01:15:52.500]   and
[01:15:52.500 --> 01:15:52.720]   they
[01:15:52.720 --> 01:15:52.880]  're
[01:15:52.880 --> 01:15:53.260]   t
[01:15:53.260 --> 01:15:53.270]   making
[01:15:53.270 --> 01:15:53.480]   safe
[01:15:53.480 --> 01:15:53.860]   choices
[01:15:53.860 --> 01:15:54.000]  ,
[01:15:54.000 --> 01:15:54.130]   and
[01:15:54.130 --> 01:15:54.240]   it
[01:15:54.240 --> 01:15:54.350]  's
[01:15:54.350 --> 01:15:54.570]   like
[01:15:54.570 --> 01:15:54.680]   if
[01:15:54.680 --> 01:15:54.790]   it
[01:15:54.790 --> 01:15:54.950]   was
[01:15:54.950 --> 01:15:55.280]   mostly
[01:15:55.280 --> 01:15:55.660]   writers
[01:15:55.660 --> 01:15:55.770]  ,
[01:15:55.770 --> 01:15:55.930]   you
[01:15:55.930 --> 01:15:56.140]   know
[01:15:56.140 --> 01:15:56.470]   doing
[01:15:56.470 --> 01:15:56.530]   it
[01:15:56.530 --> 01:15:56.640]   uh
[01:15:56.640 --> 01:15:56.800]   you
[01:15:56.800 --> 01:15:57.020]   know
[01:15:57.020 --> 01:15:57.130]  ,
[01:15:57.130 --> 01:15:57.240]   it
[01:15:57.240 --> 01:15:57.600]   would
[01:15:57.600 --> 01:15:57.620]   be
[01:15:57.620 --> 01:15:57.840]   okay
[01:15:57.840 --> 01:15:57.890]   '
[01:15:57.890 --> 01:15:58.160]  cause
[01:15:58.160 --> 01:15:58.470]   that
[01:15:58.470 --> 01:15:58.490]  's
[01:15:58.490 --> 01:15:58.710]   they
[01:15:58.710 --> 01:15:59.000]   would
[01:15:59.000 --> 01:15:59.200]   work
[01:15:59.200 --> 01:15:59.420]   most
[01:15:59.420 --> 01:15:59.690]   often
[01:15:59.690 --> 01:15:59.900]  .
[01:15:59.900 --> 01:15:59.930]   I
[01:15:59.930 --> 01:16:00.150]   said
[01:16:00.150 --> 01:16:00.170]   '
[01:16:00.170 --> 01:16:00.440]  cause
[01:16:00.440 --> 01:16:00.490]   I
[01:16:00.490 --> 01:16:00.710]   said
[01:16:00.710 --> 01:16:00.860]   the
[01:16:00.860 --> 01:16:01.350]   writers
[01:16:01.350 --> 01:16:01.410]   who
[01:16:01.410 --> 01:16:01.520]   do
[01:16:01.520 --> 01:16:01.740]   this
[01:16:01.740 --> 01:16:01.900]   pro
[01:16:01.900 --> 01:16:02.450]   officially
[01:16:02.450 --> 01:16:02.670]   have
[01:16:02.670 --> 01:16:02.780]   to
[01:16:02.780 --> 01:16:03.330]   understand
[01:16:03.330 --> 01:16:03.380]   I
[01:16:03.380 --> 01:16:03.600]   mean
[01:16:03.600 --> 01:16:03.650]   I
[01:16:03.650 --> 01:16:03.920]   would
[01:16:03.920 --> 01:16:04.250]   assume
[01:16:04.250 --> 01:16:04.470]   that
[01:16:04.470 --> 01:16:04.690]   they
[01:16:04.690 --> 01:16:04.960]   would
[01:16:04.960 --> 01:16:05.180]   know
[01:16:05.180 --> 01:16:05.400]   when
[01:16:05.400 --> 01:16:05.450]   a
[01:16:05.450 --> 01:16:05.780]   script
[01:16:05.780 --> 01:16:05.980]   was
[01:16:05.980 --> 01:16:06.210]   gonna
[01:16:06.210 --> 01:16:06.430]   work
[01:16:06.430 --> 01:16:06.540]   or
[01:16:06.540 --> 01:16:06.700]   not
[01:16:06.700 --> 01:16:07.210]  .
[01:16:07.210 --> 01:16:07.620]   Right
[01:16:07.620 --> 01:16:07.760]   And
[01:16:07.760 --> 01:16:08.080]  .
[01:16:08.080 --> 01:16:08.100]   he
[01:16:08.100 --> 01:16:08.430]   said
[01:16:08.430 --> 01:16:08.600]   yeah
[01:16:08.600 --> 01:16:08.750]  ,
[01:16:08.750 --> 01:16:08.790]   I
[01:16:08.790 --> 01:16:09.070]   said
[01:16:09.070 --> 01:16:09.120]   I
[01:16:09.120 --> 01:16:09.440]   think
[01:16:09.440 --> 01:16:09.570]   if
[01:16:09.570 --> 01:16:09.760]   you
[01:16:09.760 --> 01:16:09.890]   if
[01:16:09.890 --> 01:16:10.080]   you
[01:16:10.080 --> 01:16:10.140]   w
[01:16:10.140 --> 01:16:10.320]   the
[01:16:10.320 --> 01:16:10.790]   writers
[01:16:10.790 --> 01:16:11.050]   were
[01:16:11.050 --> 01:16:11.420]   were
[01:16:11.420 --> 01:16:11.420]  
[01:16:11.420 --> 01:16:11.530]   we
[01:16:11.530 --> 01:16:11.700]  're
[01:16:11.700 --> 01:16:11.810]   we
[01:16:11.810 --> 01:16:11.980]  're
[01:16:11.980 --> 01:16:12.210]   left
[01:16:12.210 --> 01:16:12.500]   alone
[01:16:12.500 --> 01:16:12.670]   and
[01:16:12.670 --> 01:16:12.780]   we
[01:16:12.780 --> 01:16:12.950]  're
[01:16:12.950 --> 01:16:13.180]   able
[01:16:13.180 --> 01:16:13.300]   to
[01:16:13.300 --> 01:16:13.640]   launch
[01:16:13.640 --> 01:16:13.800]   you
[01:16:13.800 --> 01:16:14.070]   know
[01:16:14.070 --> 01:16:14.150]   to
[01:16:14.150 --> 01:16:14.260]   or
[01:16:14.260 --> 01:16:14.520]   or
[01:16:14.520 --> 01:16:14.550]   the
[01:16:14.550 --> 01:16:14.830]   shows
[01:16:14.830 --> 01:16:15.060]   that
[01:16:15.060 --> 01:16:15.290]   they
[01:16:15.290 --> 01:16:15.520]   that
[01:16:15.520 --> 01:16:15.750]   they
[01:16:15.750 --> 01:16:15.980]   were
[01:16:15.980 --> 01:16:16.330]   wanted
[01:16:16.330 --> 01:16:16.440]   to
[01:16:16.440 --> 01:16:16.560]   is
[01:16:16.560 --> 01:16:16.780]   that
[01:16:16.780 --> 01:16:16.950]   you
[01:16:16.950 --> 01:16:17.060]  'd
[01:16:17.060 --> 01:16:17.230]   see
[01:16:17.230 --> 01:16:17.280]   a
[01:16:17.280 --> 01:16:17.460]   lot
[01:16:17.460 --> 01:16:17.680]   more
[01:16:17.680 --> 01:16:17.910]   high
[01:16:17.910 --> 01:16:18.320]   quality
[01:16:18.320 --> 01:16:18.610]   stuff
[01:16:18.610 --> 01:16:18.780]   and
[01:16:18.780 --> 01:16:18.830]   A
[01:16:18.830 --> 01:16:18.880]  _
[01:16:18.880 --> 01:16:18.930]  M
[01:16:18.930 --> 01:16:18.980]  _
[01:16:18.980 --> 01:16:19.030]  C
[01:16:19.030 --> 01:16:19.080]  _
[01:16:19.080 --> 01:16:19.260]   uh
[01:16:19.260 --> 01:16:19.450]   does
[01:16:19.450 --> 01:16:19.470]   a
[01:16:19.470 --> 01:16:19.640]   lot
[01:16:19.640 --> 01:16:19.750]   of
[01:16:19.750 --> 01:16:19.980]   they
[01:16:19.980 --> 01:16:20.150]   let
[01:16:20.150 --> 01:16:20.370]   these
[01:16:20.370 --> 01:16:20.870]   writers
[01:16:20.870 --> 01:16:21.020]   and
[01:16:21.020 --> 01:16:21.250]   they
[01:16:21.250 --> 01:16:21.600]   create
[01:16:21.600 --> 01:16:21.830]   they
[01:16:21.830 --> 01:16:22.130]   kinda
[01:16:22.130 --> 01:16:22.290]   let
[01:16:22.290 --> 01:16:22.340]   '
[01:16:22.340 --> 01:16:22.450]  em
[01:16:22.450 --> 01:16:22.760]   alone
[01:16:22.760 --> 01:16:22.910]   and
[01:16:22.910 --> 01:16:23.080]   and
[01:16:23.080 --> 01:16:23.190]   so
[01:16:23.190 --> 01:16:23.420]   they
[01:16:23.420 --> 01:16:23.530]   as
[01:16:23.530 --> 01:16:23.580]   a
[01:16:23.580 --> 01:16:23.930]   result
[01:16:23.930 --> 01:16:24.160]   they
[01:16:24.160 --> 01:16:24.390]   have
[01:16:24.390 --> 01:16:24.440]   a
[01:16:24.440 --> 01:16:24.680]   real
[01:16:24.680 --> 01:16:25.080]   quality
[01:16:25.080 --> 01:16:25.480]   shows
[01:16:25.480 --> 01:16:26.460]  . [SPEAKER_TURN]
[01:16:26.460 --> 01:16:31.410]   Yeah
[01:16:31.410 --> 01:16:35.120]  .
[01:16:38.500 --> 01:16:38.550]  
[01:16:38.550 --> 01:16:38.760]   Yeah
[01:16:38.760 --> 01:16:38.950]   but
[01:16:38.950 --> 01:16:39.080]  ,
[01:16:39.080 --> 01:16:39.210]   it
[01:16:39.210 --> 01:16:39.340]  's
[01:16:39.340 --> 01:16:39.620]   like
[01:16:39.620 --> 01:16:39.860]   this
[01:16:39.860 --> 01:16:39.990]   it
[01:16:39.990 --> 01:16:40.140]  's
[01:16:40.140 --> 01:16:40.470]   like
[01:16:40.470 --> 01:16:40.510]   if
[01:16:40.510 --> 01:16:40.700]   the
[01:16:40.700 --> 01:16:41.020]   story
[01:16:41.020 --> 01:16:41.340]   works
[01:16:41.340 --> 01:16:41.470]  ,
[01:16:41.470 --> 01:16:41.690]   if
[01:16:41.690 --> 01:16:41.790]   the
[01:16:41.790 --> 01:16:42.110]   story
[01:16:42.110 --> 01:16:42.240]   is
[01:16:42.240 --> 01:16:42.500]   good
[01:16:42.500 --> 01:16:42.630]  ,
[01:16:42.630 --> 01:16:42.760]   if
[01:16:42.760 --> 01:16:42.960]   the
[01:16:42.960 --> 01:16:43.590]   characters
[01:16:43.590 --> 01:16:43.790]   are
[01:16:43.790 --> 01:16:44.070]   good
[01:16:44.070 --> 01:16:44.240]   and
[01:16:44.240 --> 01:16:44.430]   you
[01:16:44.430 --> 01:16:44.740]   care
[01:16:44.740 --> 01:16:45.010]   about
[01:16:45.010 --> 01:16:45.200]   the
[01:16:45.200 --> 01:16:45.390]   you
[01:16:45.390 --> 01:16:45.710]   care
[01:16:45.710 --> 01:16:45.970]   about
[01:16:45.970 --> 01:16:46.160]   the
[01:16:46.160 --> 01:16:46.350]   the
[01:16:46.350 --> 01:16:47.000]   characters
[01:16:47.000 --> 01:16:47.130]  ,
[01:16:47.130 --> 01:16:47.320]   the
[01:16:47.320 --> 01:16:47.510]   the
[01:16:47.510 --> 01:16:47.700]   the
[01:16:47.700 --> 01:16:47.980]   plot
[01:16:47.980 --> 01:16:48.150]   has
[01:16:48.150 --> 01:16:48.470]   drawn
[01:16:48.470 --> 01:16:48.660]   you
[01:16:48.660 --> 01:16:48.790]   in
[01:16:48.790 --> 01:16:49.140]  ,
[01:16:49.140 --> 01:16:49.260]   that
[01:16:49.260 --> 01:16:49.360]  's
[01:16:49.360 --> 01:16:49.660]   the
[01:16:49.660 --> 01:16:49.740]   key
[01:16:49.740 --> 01:16:49.920]   thing
[01:16:49.920 --> 01:16:50.190]   right
[01:16:50.190 --> 01:16:50.280]  ,
[01:16:50.280 --> 01:16:50.450]   You
[01:16:50.450 --> 01:16:50.630]   know
[01:16:50.630 --> 01:16:50.780]   the
[01:16:50.780 --> 01:16:50.880]   uh
[01:16:50.880 --> 01:16:51.030]   you
[01:16:51.030 --> 01:16:51.240]   know
[01:16:51.240 --> 01:16:51.330]   as
[01:16:51.330 --> 01:16:51.530]   long
[01:16:51.530 --> 01:16:51.650]   as
[01:16:51.650 --> 01:16:51.780]   you
[01:16:51.780 --> 01:16:51.920]   you
[01:16:51.920 --> 01:16:52.130]   know
[01:16:52.130 --> 01:16:52.230]   as
[01:16:52.230 --> 01:16:52.430]   long
[01:16:52.430 --> 01:16:52.530]   as
[01:16:52.530 --> 01:16:52.680]   you
[01:16:52.680 --> 01:16:52.830]   don
[01:16:52.830 --> 01:16:52.930]  't
[01:16:52.930 --> 01:16:53.080]   get
[01:16:53.080 --> 01:16:53.280]   like
[01:16:53.280 --> 01:16:53.690]   terrible
[01:16:53.690 --> 01:16:54.000]   actors
[01:16:54.000 --> 01:16:54.100]   or
[01:16:54.100 --> 01:16:54.640]   ridiculous
[01:16:54.640 --> 01:16:55.070]   direction
[01:16:55.070 --> 01:16:55.220]   but
[01:16:55.220 --> 01:16:55.320]  ,
[01:16:55.320 --> 01:16:55.440]   it
[01:16:55.440 --> 01:16:55.520]  's
[01:16:55.520 --> 01:16:55.830]   really
[01:16:55.830 --> 01:16:55.980]   the
[01:16:55.980 --> 01:16:56.240]   story
[01:16:56.240 --> 01:16:56.390]   you
[01:16:56.390 --> 01:16:56.490]  ,
[01:16:56.490 --> 01:16:56.690]   know
[01:16:56.690 --> 01:16:56.870]   that
[01:16:56.870 --> 01:16:57.100]  's
[01:16:57.100 --> 01:16:57.160]   the
[01:16:57.160 --> 01:16:57.500]   primary
[01:16:57.500 --> 01:16:57.760]   thing
[01:16:57.760 --> 01:16:57.910]   and
[01:16:57.910 --> 01:16:58.060]   but
[01:16:58.060 --> 01:16:58.110]   a
[01:16:58.110 --> 01:16:58.260]   lot
[01:16:58.260 --> 01:16:58.360]   of
[01:16:58.360 --> 01:16:58.620]   these
[01:16:58.620 --> 01:16:59.010]   things
[01:16:59.010 --> 01:16:59.130]   they
[01:16:59.130 --> 01:16:59.400]   break
[01:16:59.400 --> 01:16:59.590]   down
[01:16:59.590 --> 01:16:59.690]   it
[01:16:59.690 --> 01:16:59.790]  's
[01:16:59.790 --> 01:16:59.990]   not
[01:16:59.990 --> 01:17:00.330]   because
[01:17:00.330 --> 01:17:00.530]   some
[01:17:00.530 --> 01:17:00.790]   actor
[01:17:00.790 --> 01:17:01.020]   sucks
[01:17:01.020 --> 01:17:01.120]  ,
[01:17:01.120 --> 01:17:01.220]   it
[01:17:01.220 --> 01:17:01.320]  's
[01:17:01.320 --> 01:17:01.370]   '
[01:17:01.370 --> 01:17:01.620]  cause
[01:17:01.620 --> 01:17:01.770]   the
[01:17:01.770 --> 01:17:02.030]   story
[01:17:02.030 --> 01:17:02.130]  's
[01:17:02.130 --> 01:17:02.440]   stupid
[01:17:02.440 --> 01:17:02.800]   because
[01:17:02.800 --> 01:17:02.900]   we
[01:17:02.900 --> 01:17:03.050]   don
[01:17:03.050 --> 01:17:03.140]  't
[01:17:03.140 --> 01:17:03.500]   care
[01:17:03.500 --> 01:17:03.710]   because
[01:17:03.710 --> 01:17:03.810]   it
[01:17:03.810 --> 01:17:03.910]  's
[01:17:03.910 --> 01:17:04.110]   just
[01:17:04.110 --> 01:17:04.270]   not
[01:17:04.270 --> 01:17:04.320]   a
[01:17:04.320 --> 01:17:04.510]   good
[01:17:04.510 --> 01:17:04.770]   story
[01:17:04.770 --> 01:17:04.870]  ,
[01:17:04.870 --> 01:17:04.970]   it
[01:17:04.970 --> 01:17:05.070]  's
[01:17:05.070 --> 01:17:05.220]   not
[01:17:05.220 --> 01:17:05.420]   what
[01:17:05.420 --> 01:17:05.520]   we
[01:17:05.520 --> 01:17:06.100]   w [SPEAKER_TURN]
[01:17:06.100 --> 01:17:06.130]   Is
[01:17:06.130 --> 01:17:06.250]   that
[01:17:06.250 --> 01:17:06.270]   what
[01:17:06.270 --> 01:17:06.320]   you
[01:17:06.320 --> 01:17:06.410]   think
[01:17:06.410 --> 01:17:06.570]   happened
[01:17:06.570 --> 01:17:06.670]   with
[01:17:06.670 --> 01:17:06.680]   the
[01:17:06.680 --> 01:17:06.750]   vent
[01:17:06.750 --> 01:17:06.870]   then
[01:17:06.870 --> 01:17:07.080]  ? [SPEAKER_TURN]
[01:17:07.800 --> 01:17:07.850]  
[01:17:07.850 --> 01:17:07.970]   Yeah
[01:17:07.970 --> 01:17:08.010]   I
[01:17:08.010 --> 01:17:08.230]   think
[01:17:08.230 --> 01:17:08.300]   it
[01:17:08.300 --> 01:17:08.380]  's
[01:17:08.380 --> 01:17:08.590]   kinda
[01:17:08.590 --> 01:17:08.760]   dumb
[01:17:08.760 --> 01:17:08.930]   like
[01:17:08.930 --> 01:17:09.130]   well
[01:17:09.130 --> 01:17:09.270]   yeah
[01:17:09.270 --> 01:17:09.350]   we
[01:17:09.350 --> 01:17:09.470]  're
[01:17:09.470 --> 01:17:09.550]   we
[01:17:09.550 --> 01:17:09.720]   were
[01:17:09.720 --> 01:17:09.970]   joking
[01:17:09.970 --> 01:17:10.210]   about
[01:17:10.210 --> 01:17:10.350]   this
[01:17:10.350 --> 01:17:10.520]   last
[01:17:10.520 --> 01:17:10.730]   night
[01:17:10.730 --> 01:17:10.810]   he
[01:17:10.810 --> 01:17:11.000]   goes
[01:17:11.000 --> 01:17:11.100]   you
[01:17:11.100 --> 01:17:11.320]   know
[01:17:11.320 --> 01:17:11.350]   he
[01:17:11.350 --> 01:17:11.640]   goes
[01:17:11.640 --> 01:17:11.810]   yeah
[01:17:11.810 --> 01:17:12.110]   it
[01:17:12.110 --> 01:17:12.330]  's
[01:17:12.330 --> 01:17:12.360]   like
[01:17:12.360 --> 01:17:12.550]   they
[01:17:12.550 --> 01:17:12.750]   tell
[01:17:12.750 --> 01:17:12.880]   us
[01:17:12.880 --> 01:17:13.100]   like
[01:17:13.100 --> 01:17:13.210]   oh
[01:17:13.210 --> 01:17:13.370]   it
[01:17:13.370 --> 01:17:13.430]  's
[01:17:13.430 --> 01:17:13.820]   this
[01:17:13.820 --> 01:17:13.940]   woman
[01:17:13.940 --> 01:17:14.080]   was
[01:17:14.080 --> 01:17:14.210]   ki
[01:17:14.210 --> 01:17:14.350]   his
[01:17:14.350 --> 01:17:14.900]   girlfriend
[01:17:14.900 --> 01:17:15.060]   was
[01:17:15.060 --> 01:17:15.560]   kidnapped
[01:17:15.560 --> 01:17:15.720]   and
[01:17:15.720 --> 01:17:15.950]   like
[01:17:15.950 --> 01:17:16.050]   we
[01:17:16.050 --> 01:17:16.230]   don
[01:17:16.230 --> 01:17:16.320]  't
[01:17:16.320 --> 01:17:16.540]   know
[01:17:16.540 --> 01:17:16.650]   we
[01:17:16.650 --> 01:17:16.850]  're
[01:17:16.850 --> 01:17:16.970]   not
[01:17:16.970 --> 01:17:17.250]   gonna
[01:17:17.250 --> 01:17:17.460]   tell
[01:17:17.460 --> 01:17:17.570]   it
[01:17:17.570 --> 01:17:17.680]  's
[01:17:17.680 --> 01:17:17.760]   a
[01:17:17.760 --> 01:17:17.920]   big
[01:17:17.920 --> 01:17:18.270]   mystery
[01:17:18.270 --> 01:17:18.430]   and
[01:17:18.430 --> 01:17:18.650]   then
[01:17:18.650 --> 01:17:18.890]   they
[01:17:18.890 --> 01:17:19.090]   tell
[01:17:19.090 --> 01:17:19.250]   you
[01:17:19.250 --> 01:17:19.470]   like
[01:17:19.470 --> 01:17:19.630]   the
[01:17:19.630 --> 01:17:19.850]   next
[01:17:19.850 --> 01:17:20.030]   the
[01:17:20.030 --> 01:17:20.230]   next
[01:17:20.230 --> 01:17:20.450]   show
[01:17:20.450 --> 01:17:21.000]  .
[01:17:21.000 --> 01:17:21.090]   They
[01:17:21.090 --> 01:17:21.290]  're
[01:17:21.290 --> 01:17:21.580]   like
[01:17:21.580 --> 01:17:21.830]   okay
[01:17:21.830 --> 01:17:21.990]   so
[01:17:21.990 --> 01:17:22.220]   now
[01:17:22.220 --> 01:17:22.220]   I
[01:17:22.220 --> 01:17:22.550]   know
[01:17:22.550 --> 01:17:22.830]   right
[01:17:22.830 --> 01:17:22.960]  ,
[01:17:22.960 --> 01:17:23.230]   Like
[01:17:23.230 --> 01:17:23.430]   the
[01:17:23.430 --> 01:17:23.630]   you
[01:17:23.630 --> 01:17:23.900]   know
[01:17:23.900 --> 01:17:24.030]   we
[01:17:24.030 --> 01:17:24.300]  're
[01:17:24.300 --> 01:17:24.500]   lost
[01:17:24.500 --> 01:17:24.800]   with
[01:17:24.800 --> 01:17:25.040]   like
[01:17:25.040 --> 01:17:25.310]   drag
[01:17:25.310 --> 01:17:25.690]   stuff
[01:17:25.690 --> 01:17:25.780]   on
[01:17:25.780 --> 01:17:26.060]   for
[01:17:26.060 --> 01:17:26.250]   like
[01:17:26.250 --> 01:17:26.310]   o
[01:17:26.310 --> 01:17:26.720]   months
[01:17:26.720 --> 01:17:26.850]   or
[01:17:26.850 --> 01:17:27.350]   years
[01:17:27.350 --> 01:17:27.390]   you
[01:17:27.390 --> 01:17:27.660]   know
[01:17:27.660 --> 01:17:27.930]   like
[01:17:27.930 --> 01:17:28.130]   you
[01:17:28.130 --> 01:17:28.330]   don
[01:17:28.330 --> 01:17:28.460]  't
[01:17:28.460 --> 01:17:28.730]   know
[01:17:28.730 --> 01:17:28.930]   and
[01:17:28.930 --> 01:17:29.300]   maybe
[01:17:29.300 --> 01:17:29.540]   lost
[01:17:29.540 --> 01:17:30.090]   probably
[01:17:30.090 --> 01:17:30.270]   did
[01:17:30.270 --> 01:17:30.410]   it
[01:17:30.410 --> 01:17:30.610]   to
[01:17:30.610 --> 01:17:30.690]   a
[01:17:30.690 --> 01:17:30.950]   fault
[01:17:30.950 --> 01:17:31.220]   that
[01:17:31.220 --> 01:17:31.540]   they
[01:17:31.540 --> 01:17:31.870]   would
[01:17:31.870 --> 01:17:33.000]   just [SPEAKER_TURN]
[01:17:33.000 --> 01:17:33.200]   The
[01:17:33.200 --> 01:17:33.470]   show
[01:17:33.470 --> 01:17:33.750]   they
[01:17:33.750 --> 01:17:34.010]   they
[01:17:34.010 --> 01:17:34.280]   just
[01:17:34.280 --> 01:17:34.780]   started
[01:17:34.780 --> 01:17:34.960]   off
[01:17:34.960 --> 01:17:35.230]   with
[01:17:35.230 --> 01:17:35.430]   the
[01:17:35.430 --> 01:17:35.770]   wrong
[01:17:35.770 --> 01:17:36.110]   thing
[01:17:36.110 --> 01:17:36.380]   didn
[01:17:36.380 --> 01:17:36.560]  't
[01:17:36.560 --> 01:17:36.640]  ,
[01:17:36.640 --> 01:17:36.910]   they
[01:17:36.910 --> 01:17:37.240]  ?
[01:17:38.240 --> 01:17:37.480]   But
[01:17:37.480 --> 01:17:37.800]   that
[01:17:37.800 --> 01:17:38.350]   actor
[01:17:38.350 --> 01:17:38.580]   Hugo
[01:17:38.580 --> 01:17:38.680]   as
[01:17:38.680 --> 01:17:39.020]   well
[01:17:39.020 --> 01:17:39.080]   I
[01:17:39.080 --> 01:17:39.320]   don
[01:17:39.320 --> 01:17:39.510]  't
[01:17:39.510 --> 01:17:39.880]   think
[01:17:39.880 --> 01:17:40.040]   he
[01:17:40.040 --> 01:17:40.200]   is
[01:17:40.200 --> 01:17:41.170]   particularly
[01:17:41.170 --> 01:17:41.250]   I
[01:17:41.250 --> 01:17:41.360]   I
[01:17:41.360 --> 01:17:41.410]   d
[01:17:41.410 --> 01:17:41.570]   he
[01:17:41.570 --> 01:17:42.020]   did
[01:17:42.020 --> 01:17:42.180]   wasn
[01:17:42.180 --> 01:17:42.290]  't
[01:17:42.290 --> 01:17:42.610]   very
[01:17:42.610 --> 01:17:43.420]   convincing
[01:17:43.420 --> 01:17:43.610]   in
[01:17:43.610 --> 01:17:43.820]   his
[01:17:43.820 --> 01:17:43.980]   uh
[01:17:43.980 --> 01:17:44.020]   no
[01:17:44.020 --> 01:17:44.380]   I
[01:17:44.380 --> 01:17:44.450]  'm
[01:17:44.450 --> 01:17:44.950]   talking
[01:17:44.950 --> 01:17:45.330]   about
[01:17:45.330 --> 01:17:45.590]   uh
[01:17:45.590 --> 01:17:45.690]   I
[01:17:45.690 --> 01:17:45.830]   was
[01:17:45.830 --> 01:17:45.990]   no
[01:17:45.990 --> 01:17:46.310]   Hugo
[01:17:46.310 --> 01:17:46.630]   yeah
[01:17:46.630 --> 01:17:46.950]   well
[01:17:46.950 --> 01:17:47.340]   Hugo
[01:17:47.340 --> 01:17:47.430]  's
[01:17:47.430 --> 01:17:47.750]   also
[01:17:47.750 --> 01:17:47.940]   on
[01:17:47.940 --> 01:17:48.320]   lost
[01:17:48.320 --> 01:17:48.470]   but
[01:17:48.470 --> 01:17:48.630]   it
[01:17:48.630 --> 01:17:48.870]  's
[01:17:48.870 --> 01:17:49.030]   the
[01:17:49.030 --> 01:17:49.270]   the
[01:17:49.270 --> 01:17:50.000]   different
[01:17:50.000 --> 01:17:50.320]   Hugo
[01:17:50.320 --> 01:17:50.500]   in
[01:17:50.500 --> 01:17:50.720]   the
[01:17:50.720 --> 01:17:51.120]   event
[01:17:51.120 --> 01:17:51.520]   right
[01:17:51.520 --> 01:17:51.670]  ,
[01:17:51.670 --> 01:17:52.020]   That
[01:17:52.020 --> 01:17:52.560]   that
[01:17:52.560 --> 01:17:52.770]   guy
[01:17:52.770 --> 01:17:52.800]   who
[01:17:52.800 --> 01:17:52.960]  's
[01:17:52.960 --> 01:17:53.280]   hurt
[01:17:53.280 --> 01:17:53.360]   h
[01:17:53.360 --> 01:17:53.570]   uh
[01:17:53.570 --> 01:17:53.780]   the
[01:17:53.780 --> 01:17:54.010]   the
[01:17:54.010 --> 01:17:54.480]   leader
[01:17:54.480 --> 01:17:54.640]  's
[01:17:54.640 --> 01:17:54.880]   son
[01:17:54.880 --> 01:17:55.380]  ,
[01:17:55.380 --> 01:17:55.530]   is
[01:17:55.530 --> 01:17:55.640]   he
[01:17:55.640 --> 01:17:56.350]   somehow
[01:17:56.350 --> 01:17:56.640]   he
