
[00:00:00.000 --> 00:00:00.100]  
[00:00:00.100 --> 00:00:00.350]   The
[01:02:40.990 --> 01:02:41.300]   outer
[01:02:41.300 --> 01:02:41.870]   suburbs
[01:02:41.870 --> 01:02:41.990]   they
[01:02:41.990 --> 01:02:42.110]   ex
[01:02:42.110 --> 01:02:42.350]   ex
[01:02:42.350 --> 01:02:42.480]   ex
[01:02:42.480 --> 01:02:42.660]   herbs
[01:02:42.660 --> 01:02:42.880]   and
[01:02:42.880 --> 01:02:43.090]   they
[01:02:43.090 --> 01:02:43.400]   have
[01:02:43.400 --> 01:02:43.460]   to
[01:02:43.460 --> 01:02:43.640]   to
[01:02:43.640 --> 01:02:43.760]   buy
[01:02:43.760 --> 01:02:43.820]   a
[01:02:43.820 --> 01:02:44.130]   cheap
[01:02:44.130 --> 01:02:44.440]   house
[01:02:44.440 --> 01:02:44.560]   so
[01:02:44.560 --> 01:02:44.840]   they
[01:02:44.840 --> 01:02:45.300]   could
[01:02:45.300 --> 01:02:45.360]   you
[01:02:45.360 --> 01:02:45.550]   know
[01:02:45.550 --> 01:02:45.610]   '
[01:02:45.610 --> 01:02:45.950]  cause
[01:02:45.950 --> 01:02:46.100]   the
[01:02:46.100 --> 01:02:46.410]   house
[01:02:46.410 --> 01:02:46.660]   gets
[01:02:46.660 --> 01:02:47.100]   cheaper
[01:02:47.100 --> 01:02:47.540]   usually
[01:02:47.540 --> 01:02:47.980]   further
[01:02:47.980 --> 01:02:48.230]   out
[01:02:48.230 --> 01:02:48.340]   you
[01:02:48.340 --> 01:02:48.510]   get
[01:02:48.510 --> 01:02:48.850]   from
[01:02:48.850 --> 01:02:48.950]   the
[01:02:48.950 --> 01:02:49.200]   city
[01:02:49.200 --> 01:02:49.450]   and
[01:02:49.450 --> 01:02:49.630]   then
[01:02:49.630 --> 01:02:49.930]   you
[01:02:49.930 --> 01:02:49.960]  'd
[01:02:49.960 --> 01:02:50.180]   have
[01:02:50.180 --> 01:02:50.510]   those
[01:02:50.510 --> 01:02:50.740]   like
[01:02:50.740 --> 01:02:50.990]   hour
[01:02:50.990 --> 01:02:51.360]   drives
[01:02:51.360 --> 01:02:51.660]   each
[01:02:51.660 --> 01:02:51.790]   way
[01:02:51.790 --> 01:02:52.290]   that
[01:02:52.290 --> 01:02:52.410]   kind
[01:02:52.410 --> 01:02:52.470]   of
[01:02:52.470 --> 01:02:52.720]   stuff
[01:02:52.720 --> 01:02:53.280]  . [SPEAKER_TURN]
[01:02:53.280 --> 01:02:53.280]  
[01:02:53.280 --> 01:02:53.630]   about
[01:02:53.630 --> 01:02:53.770]   it
[01:02:53.770 --> 01:02:53.980]   was
[01:02:53.980 --> 01:02:54.790]   if
[01:02:54.790 --> 01:02:54.830]   presumably
[01:02:54.830 --> 01:02:55.200]   there
[01:02:55.200 --> 01:02:55.550]  's
[01:02:55.550 --> 01:02:55.730]   gonna
[01:02:55.730 --> 01:02:55.810]   be
[01:02:55.810 --> 01:02:56.620]   connection
[01:02:56.620 --> 01:02:56.970]   points
[01:02:56.970 --> 01:02:57.310]   where
[01:02:57.310 --> 01:02:57.540]   you
[01:02:57.540 --> 01:02:57.570]   s
[01:02:57.570 --> 01:02:57.920]   where
[01:02:57.920 --> 01:02:58.130]   you
[01:02:58.130 --> 01:02:58.540]   switch
[01:02:58.540 --> 01:02:58.830]   from
[01:02:58.830 --> 01:02:59.040]   one
[01:02:59.040 --> 01:02:59.390]   route
[01:02:59.390 --> 01:02:59.570]   to
[01:02:59.570 --> 01:03:00.020]   another
[01:03:00.020 --> 01:03:00.450]   route
[01:03:00.450 --> 01:03:00.650]   like
[01:03:00.650 --> 01:03:00.860]   how
[01:03:00.860 --> 01:03:01.070]   how
[01:03:01.070 --> 01:03:01.600]   would
[01:03:01.600 --> 01:03:01.700]   that
[01:03:01.700 --> 01:03:01.980]   even
[01:03:01.980 --> 01:03:02.270]   work
[01:03:02.270 --> 01:03:02.470]   you
[01:03:02.470 --> 01:03:02.750]   know
[01:03:02.750 --> 01:03:03.100]   where
[01:03:03.100 --> 01:03:03.310]   you
[01:03:03.310 --> 01:03:03.520]  're
[01:03:03.520 --> 01:03:03.730]   you
[01:03:03.730 --> 01:03:03.940]  're
[01:03:03.940 --> 01:03:04.200]   because
[01:03:04.200 --> 01:03:04.640]   the
[01:03:04.640 --> 01:03:04.980]   way
[01:03:04.980 --> 01:03:05.060]   the
[01:03:05.060 --> 01:03:05.300]   way
[01:03:05.300 --> 01:03:05.550]   that
[01:03:05.550 --> 01:03:05.840]   they
[01:03:05.840 --> 01:03:06.040]  're
[01:03:06.040 --> 01:03:06.800]   describing
[01:03:06.800 --> 01:03:06.890]   it
[01:03:06.890 --> 01:03:07.030]   is
[01:03:07.030 --> 01:03:07.170]   it
[01:03:07.170 --> 01:03:07.520]   would
[01:03:07.520 --> 01:03:07.660]   be
[01:03:07.660 --> 01:03:07.940]   like
[01:03:07.940 --> 01:03:07.990]   a
[01:03:07.990 --> 01:03:08.430]   six
[01:03:08.430 --> 01:03:08.510]   man
[01:03:08.510 --> 01:03:08.640]   car
[01:03:08.640 --> 01:03:08.910]   that
[01:03:08.910 --> 01:03:09.230]   was
[01:03:09.230 --> 01:03:09.410]   kind
[01:03:09.410 --> 01:03:09.570]   of
[01:03:09.570 --> 01:03:09.830]   shot
[01:03:09.830 --> 01:03:10.110]   down
[01:03:10.110 --> 01:03:10.390]   this
[01:03:10.390 --> 01:03:10.680]   tube
[01:03:10.680 --> 01:03:10.890]   at
[01:03:10.890 --> 01:03:11.090]   four
[01:03:11.090 --> 01:03:11.370]   thou
[01:03:11.370 --> 01:03:11.670]   four
[01:03:11.670 --> 01:03:12.230]   thousand
[01:03:12.230 --> 01:03:12.350]   uh
[01:03:12.350 --> 01:03:12.690]   miles
[01:03:12.690 --> 01:03:13.030]   an
[01:03:13.030 --> 01:03:13.120]   hour
[01:03:13.120 --> 01:03:13.450]   like
[01:03:13.450 --> 01:03:13.610]   how
[01:03:13.610 --> 01:03:13.820]   how
[01:03:13.820 --> 01:03:14.310]   would
[01:03:14.310 --> 01:03:14.340]   it
[01:03:14.340 --> 01:03:14.460]   an
[01:03:14.460 --> 01:03:15.480]   intersection
[01:03:15.480 --> 01:03:15.580]   work
[01:03:15.580 --> 01:03:15.860]   for
[01:03:15.860 --> 01:03:16.280]   example
[01:03:16.280 --> 01:03:17.400]  ? [SPEAKER_TURN]
[01:03:17.400 --> 01:03:17.720]   Well
[01:03:17.720 --> 01:03:17.800]   I
[01:03:17.800 --> 01:03:17.930]   don
[01:03:17.930 --> 01:03:18.200]  't
[01:03:18.200 --> 01:03:18.520]   know
[01:03:18.520 --> 01:03:18.920]   maybe
[01:03:18.920 --> 01:03:19.080]   it
[01:03:19.080 --> 01:03:19.560]   uh
[01:03:19.560 --> 01:03:19.560]   yeah
[01:03:19.560 --> 01:03:19.640]   I
[01:03:19.640 --> 01:03:19.800]  ,
[01:03:19.800 --> 01:03:20.040]   don
[01:03:20.040 --> 01:03:20.200]  't
[01:03:20.200 --> 01:03:20.510]   know
[01:03:20.510 --> 01:03:20.760]   how
[01:03:20.760 --> 01:03:21.230]   that
[01:03:21.230 --> 01:03:21.480]   would
[01:03:21.480 --> 01:03:21.990]   work
[01:03:21.990 --> 01:03:22.740]  . [SPEAKER_TURN]
[01:03:22.740 --> 01:03:22.740]  
[01:03:22.740 --> 01:03:22.880]   know
[01:03:22.880 --> 01:03:23.020]   what
[01:03:23.020 --> 01:03:23.100]   I
[01:03:23.100 --> 01:03:23.120]  'm
[01:03:23.120 --> 01:03:23.330]   saying
[01:03:23.330 --> 01:03:23.470]   like
[01:03:23.470 --> 01:03:23.580]  ,
[01:03:23.580 --> 01:03:23.820]   y [SPEAKER_TURN]
[01:03:23.820 --> 01:03:24.060]   Yeah
[01:03:24.060 --> 01:03:24.240]  .
[01:03:24.240 --> 01:03:24.320]   But
[01:03:24.320 --> 01:03:24.470]   you
[01:03:24.470 --> 01:03:24.820]   know
[01:03:24.820 --> 01:03:24.870]   you
[01:03:24.870 --> 01:03:25.020]   know
[01:03:25.020 --> 01:03:25.220]   what
[01:03:25.220 --> 01:03:25.370]   the
[01:03:25.370 --> 01:03:25.510]   big
[01:03:25.510 --> 01:03:25.750]   the
[01:03:25.750 --> 01:03:25.820]   big
[01:03:25.820 --> 01:03:26.170]   problem
[01:03:26.170 --> 01:03:26.370]   with
[01:03:26.370 --> 01:03:26.470]   it
[01:03:26.470 --> 01:03:26.640]   is
[01:03:26.640 --> 01:03:26.770]   that
[01:03:26.770 --> 01:03:26.920]   you
[01:03:26.920 --> 01:03:27.220]   know
[01:03:27.220 --> 01:03:27.220]   if
[01:03:27.220 --> 01:03:27.620]   you
[01:03:27.620 --> 01:03:27.680]   still
[01:03:27.680 --> 01:03:27.770]   had
[01:03:27.770 --> 01:03:27.970]   that
[01:03:27.970 --> 01:03:28.170]   kind
[01:03:28.170 --> 01:03:28.300]   of
[01:03:28.300 --> 01:03:28.320]   T
[01:03:28.320 --> 01:03:28.370]  _
[01:03:28.370 --> 01:03:28.420]  S
[01:03:28.420 --> 01:03:28.470]  _
[01:03:28.470 --> 01:03:28.520]  A
[01:03:28.520 --> 01:03:28.570]  _
[01:03:28.570 --> 01:03:29.030]   effect
[01:03:29.030 --> 01:03:29.120]   where
[01:03:29.120 --> 01:03:29.310]   you
[01:03:29.310 --> 01:03:29.370]  'd
[01:03:29.370 --> 01:03:29.610]   have
[01:03:29.610 --> 01:03:29.670]   to
[01:03:29.670 --> 01:03:29.780]   go
[01:03:29.780 --> 01:03:30.120]   through
[01:03:30.120 --> 01:03:30.320]   this
[01:03:30.320 --> 01:03:30.470]   big
[01:03:30.470 --> 01:03:30.870]   security
[01:03:30.870 --> 01:03:31.140]   check
[01:03:31.140 --> 01:03:31.320]   that
[01:03:31.320 --> 01:03:31.460]  ,
[01:03:31.460 --> 01:03:31.680]   would
[01:03:31.680 --> 01:03:31.820]   end
[01:03:31.820 --> 01:03:31.920]   up
[01:03:31.920 --> 01:03:31.970]   e
[01:03:31.970 --> 01:03:32.050]  a
[01:03:32.050 --> 01:03:32.170]   you
[01:03:32.170 --> 01:03:32.270]  'd
[01:03:32.270 --> 01:03:32.610]   have
[01:03:32.610 --> 01:03:32.670]   lost
[01:03:32.670 --> 01:03:32.870]   your
[01:03:32.870 --> 01:03:33.070]   time
[01:03:33.070 --> 01:03:33.440]  . [SPEAKER_TURN]
[01:03:33.440 --> 01:03:33.440]   Well
[01:03:33.440 --> 01:03:34.030]   but
[01:03:34.030 --> 01:03:34.440]   you
[01:03:34.440 --> 01:03:34.900]   wouldn
[01:03:34.900 --> 01:03:34.960]  't
[01:03:34.960 --> 01:03:35.480]   really
[01:03:35.480 --> 01:03:35.810]   need
[01:03:35.810 --> 01:03:35.890]   T
[01:03:35.890 --> 01:03:35.970]  _
[01:03:35.970 --> 01:03:36.050]  S
[01:03:36.050 --> 01:03:36.130]  _
[01:03:36.130 --> 01:03:36.210]  A
[01:03:36.210 --> 01:03:37.020]  _ [SPEAKER_TURN]
[01:03:37.020 --> 01:03:37.350]   You
[01:03:37.350 --> 01:03:37.790]   know
[01:03:37.790 --> 01:03:37.900]   I
[01:03:37.900 --> 01:03:38.220]   th
[01:03:38.220 --> 01:03:38.270]  i
[01:03:38.270 --> 01:03:38.990]   yeah
[01:03:38.990 --> 01:03:39.010]   you
[01:03:39.010 --> 01:03:39.530]   think
[01:03:39.530 --> 01:03:39.640]   I
[01:03:39.640 --> 01:03:40.190]   mean
[01:03:40.190 --> 01:03:40.220]   T
[01:03:40.220 --> 01:03:40.290]  _
[01:03:40.290 --> 01:03:40.390]  S
[01:03:40.390 --> 01:03:40.490]  _
[01:03:40.490 --> 01:03:40.610]  A
[01:03:40.610 --> 01:03:40.690]  _
[01:03:40.690 --> 01:03:41.130]   just
[01:03:41.130 --> 01:03:41.350]   ex
[01:03:41.350 --> 01:03:41.680]   you
[01:03:41.680 --> 01:03:42.450]   know
[01:03:42.450 --> 01:03:42.460]   the
[01:03:42.460 --> 01:03:42.930]   home
[01:03:42.930 --> 01:03:43.940]   life
[01:03:43.940 --> 01:03:44.200]   security
[01:03:44.200 --> 01:03:44.640]   just
[01:03:44.640 --> 01:03:45.180]   keeps
[01:03:45.180 --> 01:03:45.390]   it
[01:03:45.390 --> 01:03:46.390]   getting
[01:03:46.390 --> 01:03:46.810]   bigger
[01:03:46.810 --> 01:03:47.140]   and
[01:03:47.140 --> 01:03:48.120]   expanding
[01:03:48.120 --> 01:03:48.390]   so
[01:03:48.390 --> 01:03:48.710]   you
[01:03:48.710 --> 01:03:49.450]   think
[01:03:49.450 --> 01:03:50.660]   that [SPEAKER_TURN]
[01:03:51.300 --> 01:03:51.300]  
[01:03:51.300 --> 01:03:51.470]   one
[01:03:51.470 --> 01:03:51.580]   of
[01:03:51.580 --> 01:03:51.750]   the
[01:03:51.750 --> 01:03:51.800]   I
[01:03:51.800 --> 01:03:52.030]   mean
[01:03:52.030 --> 01:03:52.160]   if
[01:03:52.160 --> 01:03:52.310]   you
[01:03:52.310 --> 01:03:52.540]   blew
[01:03:52.540 --> 01:03:52.650]   up
[01:03:52.650 --> 01:03:52.870]   if
[01:03:52.870 --> 01:03:52.930]   you
[01:03:52.930 --> 01:03:53.160]   went
[01:03:53.160 --> 01:03:53.380]   with
[01:03:53.380 --> 01:03:53.440]   a
[01:03:53.440 --> 01:03:53.480]   a
[01:03:53.480 --> 01:03:53.720]   bomb
[01:03:53.720 --> 01:03:54.000]   right
[01:03:54.000 --> 01:03:54.110]   uh
[01:03:54.110 --> 01:03:54.370]   and
[01:03:54.370 --> 01:03:54.560]   there
[01:03:54.560 --> 01:03:54.740]   was
[01:03:54.740 --> 01:03:55.010]   one
[01:03:55.010 --> 01:03:55.040]   of
[01:03:55.040 --> 01:03:55.290]   these
[01:03:55.290 --> 01:03:55.570]   pipes
[01:03:55.570 --> 01:03:55.850]   under
[01:03:55.850 --> 01:03:56.020]   the
[01:03:56.020 --> 01:03:56.300]   ocean
[01:03:56.300 --> 01:03:56.440]   it
[01:03:56.440 --> 01:03:56.690]   would
[01:03:56.690 --> 01:03:56.960]   cause
[01:03:56.960 --> 01:03:57.020]   a
[01:03:57.020 --> 01:03:57.300]   lot
[01:03:57.300 --> 01:03:57.480]   of
[01:03:57.480 --> 01:03:57.640]   hassle
[01:03:57.640 --> 01:03:58.480]  . [SPEAKER_TURN]
[01:03:58.480 --> 01:03:58.540]   I
[01:03:58.540 --> 01:03:58.720]   mean
[01:03:58.720 --> 01:03:58.980]   all
[01:03:58.980 --> 01:03:59.410]   it
[01:03:59.410 --> 01:03:59.490]   takes
[01:03:59.490 --> 01:03:59.530]   is
[01:03:59.530 --> 01:03:59.810]   one
[01:03:59.810 --> 01:04:00.360]   terrorist
[01:04:00.360 --> 01:04:00.670]   attack
[01:04:00.670 --> 01:04:00.860]   and
[01:04:00.860 --> 01:04:01.040]   and
[01:04:01.040 --> 01:04:01.490]   then
[01:04:01.490 --> 01:04:01.560]   all
[01:04:01.560 --> 01:04:01.610]   of
[01:04:01.610 --> 01:04:01.670]   a
[01:04:01.670 --> 01:04:02.050]   sudden
[01:04:02.050 --> 01:04:02.550]   from
[01:04:02.550 --> 01:04:02.570]   then
[01:04:02.570 --> 01:04:02.670]   on
[01:04:02.670 --> 01:04:02.860]   out
[01:04:02.860 --> 01:04:03.050]   you
[01:04:03.050 --> 01:04:03.370]   have
[01:04:03.370 --> 01:04:03.490]   all
[01:04:03.490 --> 01:04:03.800]   these
[01:04:03.800 --> 01:04:04.110]   heavy
[01:04:04.110 --> 01:04:04.360]   duty
[01:04:04.360 --> 01:04:04.550]   res
[01:04:04.550 --> 01:04:05.070]   security
[01:04:05.070 --> 01:04:05.930]   restrictions
[01:04:05.930 --> 01:04:06.050]   on
[01:04:06.050 --> 01:04:06.310]   things
[01:04:06.310 --> 01:04:06.430]   so
[01:04:06.430 --> 01:04:06.490]   I
[01:04:06.490 --> 01:04:06.740]   mean
[01:04:06.740 --> 01:04:06.990]   that
[01:04:06.990 --> 01:04:07.160]   w
[01:04:07.160 --> 01:04:07.340]   that
[01:04:07.340 --> 01:04:07.610]   would
[01:04:07.610 --> 01:04:07.920]   be
[01:04:07.920 --> 01:04:08.000]   the
[01:04:08.000 --> 01:04:08.300]   killer
[01:04:08.300 --> 01:04:08.420]   if
[01:04:08.420 --> 01:04:08.660]   like
[01:04:08.660 --> 01:04:09.030]   you
[01:04:09.030 --> 01:04:09.050]   can
[01:04:09.050 --> 01:04:09.240]   get
[01:04:09.240 --> 01:04:09.550]   to
[01:04:09.550 --> 01:04:09.630]   ten
[01:04:09.630 --> 01:04:10.110]   minutes
[01:04:10.110 --> 01:04:10.250]   of
[01:04:10.250 --> 01:04:10.300]   San
[01:04:10.300 --> 01:04:10.870]   Francisco
[01:04:10.870 --> 01:04:11.120]   but
[01:04:11.120 --> 01:04:11.120]   I
[01:04:11.120 --> 01:04:11.450]   still
[01:04:11.450 --> 01:04:11.680]   have
[01:04:11.680 --> 01:04:11.800]   to
[01:04:11.800 --> 01:04:11.910]   go
[01:04:11.910 --> 01:04:12.360]   through
[01:04:12.360 --> 01:04:12.460]   a
[01:04:12.460 --> 01:04:12.670]   half
[01:04:12.670 --> 01:04:12.930]   hour
[01:04:12.930 --> 01:04:13.430]   security
[01:04:13.430 --> 01:04:13.740]   check
[01:04:13.740 --> 01:04:14.190]   either
[01:04:14.190 --> 01:04:14.300]   way
[01:04:14.300 --> 01:04:14.360]   I
[01:04:14.360 --> 01:04:14.480]  'd
[01:04:14.480 --> 01:04:14.660]  .
[01:04:14.660 --> 01:04:14.810]   be
[01:04:14.810 --> 01:04:15.100]   asked
[01:04:15.100 --> 01:04:15.230]   to
[01:04:15.230 --> 01:04:15.530]   write
[01:04:15.530 --> 01:04:15.840]   there
[01:04:15.840 --> 01:04:15.960]  's
[01:04:15.960 --> 01:04:16.300]   too
[01:04:16.300 --> 01:04:16.400]   much
[01:04:16.400 --> 01:04:16.840]   for
[01:04:16.840 --> 01:04:16.880]   pain
[01:04:16.880 --> 01:04:17.020]   in
[01:04:17.020 --> 01:04:17.190]   the
[01:04:17.190 --> 01:04:18.120]   butt
[01:04:18.120 --> 01:04:18.530]   you
[01:04:18.530 --> 01:04:18.550]   know
[01:04:18.550 --> 01:04:18.660]   I
[01:04:18.660 --> 01:04:19.240]   mean
[01:04:19.240 --> 01:04:19.300]   to
[01:04:19.300 --> 01:04:19.730]   call
[01:04:19.730 --> 01:04:20.100]   the
[01:04:20.100 --> 01:04:20.940]   book
[01:04:21.580 --> 01:04:21.010]   I
[01:04:21.010 --> 01:04:21.670]   mean
[01:04:21.670 --> 01:04:21.680]   yeah
[01:04:21.680 --> 01:04:21.760]   I
[01:04:21.760 --> 01:04:22.080]   mean
[01:04:22.080 --> 01:04:22.670]   already
[01:04:22.670 --> 01:04:22.830]   my
[01:04:22.830 --> 01:04:23.160]   trip
[01:04:23.160 --> 01:04:23.570]   to
[01:04:23.570 --> 01:04:23.910]   San
[01:04:23.910 --> 01:04:24.320]   Francisco
[01:04:24.320 --> 01:04:24.920]   the
[01:04:24.920 --> 01:04:25.150]   actual
[01:04:25.150 --> 01:04:25.610]   flying
[01:04:25.610 --> 01:04:25.980]   there
[01:04:25.980 --> 01:04:26.140]   is
[01:04:26.140 --> 01:04:26.560]   much
[01:04:26.560 --> 01:04:26.790]   less
[01:04:26.790 --> 01:04:27.250]   time
[01:04:27.250 --> 01:04:27.290]   it
[01:04:27.290 --> 01:04:27.450]   is
[01:04:27.450 --> 01:04:27.600]   me
[01:04:27.600 --> 01:04:28.330]   driving
[01:04:28.330 --> 01:04:28.440]   the
[01:04:28.440 --> 01:04:29.140]   airport
[01:04:29.140 --> 01:04:29.600]   parking
[01:04:29.600 --> 01:04:29.850]   you
[01:04:29.850 --> 01:04:30.010]  ,
[01:04:30.010 --> 01:04:30.330]   know
[01:04:30.330 --> 01:04:30.970]   getting
[01:04:30.970 --> 01:04:31.160]   the
[01:04:31.160 --> 01:04:32.120]   ticket
[01:04:32.120 --> 01:04:32.170]   issued
[01:04:32.170 --> 01:04:32.420]   and
[01:04:32.420 --> 01:04:32.740]   then
[01:04:32.740 --> 01:04:33.490]   checking
[01:04:33.490 --> 01:04:33.660]   for
[01:04:33.660 --> 01:04:34.320]   security
[01:04:34.320 --> 01:04:34.570]   and
[01:04:34.570 --> 01:04:35.230]   boarding
[01:04:35.230 --> 01:04:35.480]   the
[01:04:35.480 --> 01:04:35.940]   plane
[01:04:35.940 --> 01:04:36.220]   that
[01:04:36.220 --> 01:04:36.550]   eats
[01:04:36.550 --> 01:04:36.710]   up
[01:04:36.710 --> 01:04:36.960]   you
[01:04:36.960 --> 01:04:37.480]   know
[01:04:37.480 --> 01:04:37.540]   the
[01:04:37.540 --> 01:04:37.880]   vast
[01:04:37.880 --> 01:04:38.590]   majority
[01:04:38.590 --> 01:04:38.690]   of
[01:04:38.690 --> 01:04:38.940]   the
[01:04:38.940 --> 01:04:39.270]   time
[01:04:39.270 --> 01:04:39.520]   you
[01:04:39.520 --> 01:04:39.680]  ,
[01:04:39.680 --> 01:04:40.010]   know
[01:04:40.010 --> 01:04:40.090]   I
[01:04:40.090 --> 01:04:40.100]  .
[01:04:40.100 --> 01:04:40.670]   mean
[01:04:40.670 --> 01:04:41.060]   you
[01:04:41.060 --> 01:04:41.500]   figure
[01:04:41.500 --> 01:04:41.510]   I
[01:04:41.510 --> 01:04:41.800]  'm
[01:04:41.800 --> 01:04:42.160]   trying
[01:04:42.160 --> 01:04:42.320]   to
[01:04:42.320 --> 01:04:42.690]   think
[01:04:42.690 --> 01:04:42.890]   it
[01:04:42.890 --> 01:04:43.430]  's
[01:04:43.430 --> 01:04:43.710]   probably
[01:04:43.710 --> 01:04:45.020]   like [SPEAKER_TURN]
[01:04:45.020 --> 01:04:45.020]  
[01:04:45.020 --> 01:04:45.070]   I
[01:04:45.070 --> 01:04:45.240]  'm
[01:04:45.240 --> 01:04:45.700]   trying
[01:04:45.700 --> 01:04:45.850]   to
[01:04:45.850 --> 01:04:46.240]   think
[01:04:46.240 --> 01:04:46.510]   so
[01:04:46.510 --> 01:04:46.530]   if
[01:04:46.530 --> 01:04:46.830]   when
[01:04:46.830 --> 01:04:47.170]   when
[01:04:47.170 --> 01:04:47.200]   I
[01:04:47.200 --> 01:04:47.350]   go
[01:04:47.350 --> 01:04:47.500]   to
[01:04:47.500 --> 01:04:47.730]   San
[01:04:47.730 --> 01:04:48.420]   Francisco
[01:04:48.420 --> 01:04:48.650]   and
[01:04:48.650 --> 01:04:48.760]   I
[01:04:48.760 --> 01:04:49.100]   catch
[01:04:49.100 --> 01:04:49.170]   a
[01:04:49.170 --> 01:04:49.470]   ten
[01:04:49.470 --> 01:04:49.470]   P
[01:04:49.470 --> 01:04:49.610]  _
[01:04:49.610 --> 01:04:49.680]  M
[01:04:49.680 --> 01:04:49.740]  _
[01:04:49.740 --> 01:04:50.140]   flight
[01:04:50.140 --> 01:04:50.210]   I
[01:04:50.210 --> 01:04:50.590]   might
[01:04:50.590 --> 01:04:50.970]   leave
[01:04:50.970 --> 01:04:51.120]   it
[01:04:51.120 --> 01:04:51.420]   like
[01:04:51.420 --> 01:04:51.720]   and
[01:04:51.720 --> 01:04:51.720]   I
[01:04:51.720 --> 01:04:52.100]   get
[01:04:52.100 --> 01:04:52.120]   to
[01:04:52.120 --> 01:04:52.250]   be
[01:04:52.250 --> 01:04:52.630]   there
[01:04:52.630 --> 01:04:52.780]   at
[01:04:52.780 --> 01:04:53.080]   nine
[01:04:53.080 --> 01:04:53.460]   which
[01:04:53.460 --> 01:04:53.840]   means
[01:04:53.840 --> 01:04:53.910]   I
[01:04:53.910 --> 01:04:54.310]   leave
[01:04:54.310 --> 01:04:54.440]   at
[01:04:54.440 --> 01:04:55.000]   eight
[01:04:55.000 --> 01:04:55.280]   thirty
[01:04:55.280 --> 01:04:55.430]   so
[01:04:55.430 --> 01:04:55.620]   it
[01:04:55.620 --> 01:04:55.840]  's
[01:04:55.840 --> 01:04:55.880]   an
[01:04:55.880 --> 01:04:56.180]   hour
[01:04:56.180 --> 01:04:56.410]   and
[01:04:56.410 --> 01:04:56.480]   a
[01:04:56.480 --> 01:04:57.010]   half
[01:04:57.010 --> 01:04:57.210]   you
[01:04:57.210 --> 01:04:57.230]  ,
[01:04:57.230 --> 01:04:57.540]   know
[01:04:57.540 --> 01:04:57.970]   of
[01:04:57.970 --> 01:04:58.360]   preparation
[01:04:58.360 --> 01:04:58.730]   and
[01:04:58.730 --> 01:04:58.830]   then
[01:04:58.830 --> 01:04:59.020]   you
[01:04:59.020 --> 01:04:59.270]   know
[01:04:59.270 --> 01:04:59.400]   it
[01:04:59.400 --> 01:04:59.510]  's
[01:04:59.510 --> 01:04:59.890]   embark
[01:04:59.890 --> 01:05:00.080]  ing
[01:05:00.080 --> 01:05:00.700]   everything
[01:05:00.700 --> 01:05:00.820]   so
[01:05:00.820 --> 01:05:01.010]   for
[01:05:01.010 --> 01:05:01.130]   an
[01:05:01.130 --> 01:05:01.380]   hour
[01:05:01.380 --> 01:05:01.760]   flight
[01:05:01.760 --> 01:05:01.950]   so
[01:05:01.950 --> 01:05:02.000]   it
[01:05:02.000 --> 01:05:02.230]  's
[01:05:02.230 --> 01:05:02.620]   probably
[01:05:02.620 --> 01:05:02.960]   like
[01:05:02.960 --> 01:05:03.440]   two
[01:05:03.440 --> 01:05:04.150]   hour
[01:05:04.150 --> 01:05:04.330]   two
[01:05:04.330 --> 01:05:04.500]   and
[01:05:04.500 --> 01:05:04.610]   a
[01:05:04.610 --> 01:05:05.080]   half
[01:05:05.080 --> 01:05:05.660]   hours
[01:05:05.660 --> 01:05:06.010]   for
[01:05:06.010 --> 01:05:06.240]   an
[01:05:06.240 --> 01:05:06.700]   hour
[01:05:06.700 --> 01:05:07.410]   flight
[01:05:07.410 --> 01:05:07.820]  . [SPEAKER_TURN]
[01:05:07.820 --> 01:05:08.080]   That
[01:05:08.080 --> 01:05:08.210]  's
[01:05:08.210 --> 01:05:08.340]   so
[01:05:08.340 --> 01:05:08.600]   it
[01:05:08.600 --> 01:05:09.140]  's [SPEAKER_TURN]
[01:05:09.140 --> 01:05:09.240]   It
[01:05:09.240 --> 01:05:09.280]  's
[01:05:09.280 --> 01:05:09.460]   like
[01:05:09.460 --> 01:05:09.530]   a
[01:05:09.530 --> 01:05:09.650]   fixed
[01:05:09.650 --> 01:05:09.730]   it
[01:05:09.730 --> 01:05:09.790]  's
[01:05:09.790 --> 01:05:09.940]   like
[01:05:09.940 --> 01:05:10.000]   a
[01:05:10.000 --> 01:05:10.160]   fixed
[01:05:10.160 --> 01:05:10.310]   cost
[01:05:10.310 --> 01:05:10.540]   almost
[01:05:10.540 --> 01:05:10.650]   you
[01:05:10.650 --> 01:05:10.720]  ,
[01:05:10.720 --> 01:05:10.960]   know
[01:05:10.960 --> 01:05:11.380]  . [SPEAKER_TURN]
[01:05:11.380 --> 01:05:11.540]   Yeah
[01:05:11.540 --> 01:05:12.000]  . [SPEAKER_TURN]
[01:05:12.480 --> 01:05:12.580]  
[01:05:12.580 --> 01:05:12.610]   So
[01:05:12.610 --> 01:05:12.870]   that
[01:05:12.870 --> 01:05:13.050]  's
[01:05:13.050 --> 01:05:13.190]   the
[01:05:13.190 --> 01:05:13.450]   only
[01:05:13.450 --> 01:05:13.780]   thing
[01:05:13.780 --> 01:05:14.220]   that
[01:05:14.220 --> 01:05:14.240]   was
[01:05:14.240 --> 01:05:14.350]   uh
[01:05:14.350 --> 01:05:14.670]   gonna
[01:05:14.670 --> 01:05:14.920]   kill
